gene alpha_original SE_original P_original N_original Phet_original alpha SE P Nend Phet
ENSG00000000003 -0.02471 0.06852 0.718 101 1 -0.02471 0.06852 0.718 101 1
ENSG00000000419 -0.04231 0.03575 0.237 123 0.958 -0.04231 0.03575 0.237 123 0.958
ENSG00000000457 0.00761 0.03518 0.829 123 0.943 0.00761 0.03518 0.829 123 0.943
ENSG00000000460 -0.04293 0.03511 0.221 123 1 -0.04293 0.03511 0.221 123 1
ENSG00000000938 0.02312 0.03531 0.513 122 0.945 0.02312 0.03531 0.513 122 0.945
ENSG00000000971 0.06133 0.03518 0.0812 123 0.833 0.06133 0.03518 0.0812 123 0.833
ENSG00000001036 -0.05167 0.03505 0.14 126 0.989 -0.05167 0.03505 0.14 126 0.989
ENSG00000001084 -0.04817 0.03537 0.173 124 0.839 -0.04817 0.03537 0.173 124 0.839
ENSG00000001167 0.02389 0.03494 0.494 126 0.956 0.02389 0.03494 0.494 126 0.956
ENSG00000001460 -0.03571 0.03948 0.366 120 0.988 -0.03571 0.03948 0.366 120 0.988
ENSG00000001461 0.06167 0.03518 0.0796 123 0.582 0.06167 0.03518 0.0796 123 0.582
ENSG00000001497 0.16484 0.07175 0.0216 89 1 0.16484 0.07175 0.0216 89 1
ENSG00000001561 0.01021 0.0357 0.775 120 0.749 0.01021 0.0357 0.775 120 0.749
ENSG00000001629 -0.0099 0.0447 0.825 108 0.993 -0.0099 0.0447 0.825 108 0.993
ENSG00000001630 0.04793 0.05466 0.38 110 1 0.04793 0.05466 0.38 110 1
ENSG00000001631 -0.04304 0.0353 0.223 122 0.895 -0.04304 0.0353 0.223 122 0.895
ENSG00000002016 -0.11614 0.03884 0.00279 121 0.995 -0.11614 0.03884 0.00279 121 0.995
ENSG00000002330 0.02429 0.03551 0.494 119 1 0.02429 0.03551 0.494 119 1
ENSG00000002549 -0.05612 0.03699 0.129 123 0.971 -0.05612 0.03699 0.129 123 0.971
ENSG00000002586 0.07208 0.0949 0.448 83 1 0.07208 0.0949 0.448 83 1
ENSG00000002587 0.00665 0.03551 0.851 121 0.992 0.00665 0.03551 0.851 121 0.992
ENSG00000002726 -0.05879 0.03854 0.127 122 0.925 -0.05879 0.03854 0.127 122 0.925
ENSG00000002745 0.00197 0.03527 0.955 127 0.998 0.00197 0.03527 0.955 127 0.998
ENSG00000002822 -0.04428 0.0354 0.211 119 0.933 -0.04428 0.0354 0.211 119 0.933
ENSG00000002834 0.01661 0.03559 0.641 123 0.716 0.01661 0.03559 0.641 123 0.716
ENSG00000002919 -0.01702 0.03533 0.63 122 0.769 -0.01702 0.03533 0.63 122 0.769
ENSG00000002933 -0.00292 0.03535 0.934 121 0.916 -0.00292 0.03535 0.934 121 0.916
ENSG00000003056 0.02514 0.03527 0.476 122 0.995 0.02514 0.03527 0.476 122 0.995
ENSG00000003096 -0.05884 0.06942 0.397 102 1 -0.05884 0.06942 0.397 102 1
ENSG00000003137 0.01946 0.03519 0.58 126 0.91 0.01946 0.03519 0.58 126 0.91
ENSG00000003147 0.02446 0.03535 0.489 120 0.641 0.02446 0.03535 0.489 120 0.641
ENSG00000003249 0.06897 0.03524 0.0504 122 0.797 0.06897 0.03524 0.0504 122 0.797
ENSG00000003393 -0.01749 0.0355 0.622 118 0.833 -0.01749 0.0355 0.622 118 0.833
ENSG00000003400 -0.018 0.03551 0.612 120 0.954 -0.018 0.03551 0.612 120 0.954
ENSG00000003402 0.12718 0.03938 0.00124 113 0.9 0.12718 0.03938 0.00124 113 0.9
ENSG00000003436 -0.0554 0.03526 0.116 122 0.81 -0.0554 0.03526 0.116 122 0.81
ENSG00000003509 -0.08937 0.03974 0.0245 117 0.984 -0.08937 0.03974 0.0245 117 0.984
ENSG00000003756 -0.01059 0.0355 0.766 121 0.969 -0.01059 0.0355 0.766 121 0.969
ENSG00000003987 -0.02462 0.03876 0.525 123 0.993 -0.02462 0.03876 0.525 123 0.993
ENSG00000004059 0.02683 0.03535 0.448 123 0.988 0.02683 0.03535 0.448 123 0.988
ENSG00000004139 0.04227 0.03512 0.229 125 0.888 0.04227 0.03512 0.229 125 0.888
ENSG00000004142 -0.02942 0.03525 0.404 122 0.961 -0.02942 0.03525 0.404 122 0.961
ENSG00000004399 -0.02044 0.03531 0.563 123 0.783 -0.02044 0.03531 0.563 123 0.783
ENSG00000004455 -0.01318 0.03512 0.708 123 0.998 -0.01318 0.03512 0.708 123 0.998
ENSG00000004468 -0.1148 0.03542 0.00119 123 0.983 -0.1148 0.03542 0.00119 123 0.983
ENSG00000004478 0.03428 0.03497 0.327 127 0.884 0.03428 0.03497 0.327 127 0.884
ENSG00000004487 0.03319 0.07084 0.639 92 1 0.03319 0.07084 0.639 92 1
ENSG00000004534 0.05438 0.03586 0.129 121 0.979 0.05438 0.03586 0.129 121 0.979
ENSG00000004660 -0.04267 0.03622 0.239 115 0.886 -0.04267 0.03622 0.239 115 0.886
ENSG00000004700 0.05156 0.03556 0.147 119 0.816 0.05156 0.03556 0.147 119 0.816
ENSG00000004766 0.00205 0.03534 0.954 121 0.949 0.00205 0.03534 0.954 121 0.949
ENSG00000004777 -0.04356 0.03512 0.215 124 0.817 -0.04356 0.03512 0.215 124 0.817
ENSG00000004779 -0.01556 0.03529 0.659 124 0.793 -0.01556 0.03529 0.659 124 0.793
ENSG00000004799 0.01336 0.03498 0.702 125 0.997 0.01336 0.03498 0.702 125 0.997
ENSG00000004809 -0.06997 0.03508 0.0461 124 0.839 -0.06997 0.03508 0.0461 124 0.839
ENSG00000004838 -0.01039 0.03544 0.769 124 0.868 -0.01039 0.03544 0.769 124 0.868
ENSG00000004864 -0.00076 0.03547 0.983 122 0.905 -0.00076 0.03547 0.983 122 0.905
ENSG00000004866 -0.00716 0.03498 0.838 125 1 -0.00716 0.03498 0.838 125 1
ENSG00000004897 0.00423 0.03516 0.904 123 0.995 0.00423 0.03516 0.904 123 0.995
ENSG00000004939 0.08605 0.04008 0.0318 112 0.571 0.08605 0.04008 0.0318 112 0.571
ENSG00000004961 -0.1091 0.0705 0.122 92 1 -0.1091 0.0705 0.122 92 1
ENSG00000004975 0.04468 0.03505 0.202 124 0.984 0.04468 0.03505 0.202 124 0.984
ENSG00000005001 -0.02986 0.03551 0.4 120 0.742 -0.02986 0.03551 0.4 120 0.742
ENSG00000005007 -0.00068 0.03533 0.985 121 0.969 -0.00068 0.03533 0.985 121 0.969
ENSG00000005020 -0.04832 0.03539 0.172 123 0.943 -0.04832 0.03539 0.172 123 0.943
ENSG00000005022 -0.05147 0.08406 0.54 97 1 -0.05147 0.08406 0.54 97 1
ENSG00000005059 0.01072 0.06876 0.876 103 1 0.01072 0.06876 0.876 103 1
ENSG00000005075 0.0374 0.03546 0.292 119 0.977 0.0374 0.03546 0.292 119 0.977
ENSG00000005100 -0.04321 0.03532 0.221 122 0.986 -0.04321 0.03532 0.221 122 0.986
ENSG00000005102 0.01178 0.03504 0.737 125 0.642 0.01178 0.03504 0.737 125 0.642
ENSG00000005156 -0.01739 0.03512 0.621 124 0.632 -0.01739 0.03512 0.621 124 0.632
ENSG00000005175 0.04195 0.03552 0.238 122 0.953 0.04195 0.03552 0.238 122 0.953
ENSG00000005187 0.00761 0.03526 0.829 122 0.988 0.00761 0.03526 0.829 122 0.988
